Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
523,Larry Nance Jr.\nancela02,PF,29,POR,37,11,858,4.3,8.3,.515,0.8,2.6,.306,3.5,5.7,.610,1.3,2.1,.653,2.4,6.3,8.8,3.1,1.6,0.5,1.1,2.8,10.7
524,RJ Nembhard Jr.\nembhrj01,SG,22,CLE,9,0,52,4.2,10.4,.400,0.0,1.4,.000,4.2,9.0,.462,0.7,1.4,.500,0.7,2.1,2.8,7.6,0.0,0.0,1.4,1.4,9.0
525,Aaron Nesmith\nesmiaa01,SF,22,BOS,45,2,473,4.3,11.6,.366,1.8,7.2,.242,2.5,4.4,.569,1.2,1.4,.842,1.1,4.8,5.9,1.4,1.1,0.3,2.0,4.1,11.5
526,Raul Neto\netora01,PG,29,WAS,54,10,1119,5.4,11.9,.454,0.9,3.3,.282,4.5,8.6,.521,2.1,2.9,.742,0.4,3.2,3.6,5.2,1.4,0.0,2.0,2.9,13.9
527,Malik Newman\newmama01,PG,24,CLE,1,0,8,13.5,22.5,.600,0.0,4.5,.000,13.5,18.0,.750,9.0,9.0,1.000,0.0,4.5,4.5,4.5,0.0,0.0,4.5,0.0,36.0
528,Georges Niang\niangge01,PF,28,PHI,60,6,1382,5.2,11.9,.436,3.2,7.9,.401,2.0,4.0,.506,1.2,1.4,.868,0.5,3.6,4.1,2.3,0.6,0.3,1.3,4.2,14.7
529,Daishen Nix\nixda01,SG,19,HOU,10,0,92,5.9,10.6,.556,1.6,3.9,.400,4.3,6.7,.647,1.2,2.0,.600,0.4,3.9,4.3,5.5,3.1,0.0,3.9,2.7,14.5
530,Zeke Nnaji\nnajize01,PF,21,DEN,39,1,651,5.3,9.7,.540,2.0,4.2,.487,3.2,5.5,.580,2.1,3.4,.613,3.0,4.9,8.0,0.8,0.7,0.7,1.2,4.2,14.7
531,Nerlens Noel\noelne01,C,27,NYK,25,11,562,2.0,3.8,.533,0.0,0.2,.000,2.0,3.7,.561,1.3,1.9,.700,3.1,6.0,9.0,1.5,1.9,2.0,1.3,4.3,5.4
532,Jaylen Nowell\nowelja01,SG,22,MIN,47,1,696,7.3,15.3,.478,2.2,5.6,.385,5.1,9.6,.532,2.4,3.2,.754,0.8,3.8,4.6,5.0,1.2,0.3,1.3,2.7,19.1
533,Frank Ntilikina\ntilila01,PG,23,DAL,48,5,597,4.3,11.6,.375,2.1,6.0,.340,2.3,5.5,.413,1.4,1.4,.958,0.5,3.4,3.9,3.3,1.4,0.4,1.6,3.1,12.1
534,Jusuf Nurkić\nurkiju01,C,27,POR,56,56,1579,7.3,13.7,.535,0.3,1.3,.268,7.0,12.4,.563,4.2,6.1,.690,3.8,10.3,14.1,3.6,1.4,0.8,3.3,4.3,19.2
535,David Nwaba\nwabada01,SF,29,HOU,41,4,554,4.9,10.5,.469,0.8,2.9,.273,4.2,7.7,.542,2.7,3.7,.719,2.5,6.9,9.4,2.0,1.6,1.2,1.3,3.5,13.3
536,Jordan Nwora\nworajo01,SF,23,MIL,51,10,974,5.8,14.2,.407,2.6,7.2,.357,3.2,6.9,.460,0.8,1.0,.808,1.1,5.6,6.7,1.8,0.9,0.5,1.7,2.3,14.9
537,Royce O'Neale\onealro01,SF,28,UTA,60,60,1879,3.2,6.4,.502,1.8,4.3,.420,1.4,2.1,.673,0.7,0.9,.787,0.9,4.8,5.7,2.9,1.4,0.5,1.1,2.7,8.9
538,Semi Ojeleye\ojelese01,PF,27,TOT,25,0,339,2.4,8.5,.288,1.4,4.8,.289,1.1,3.7,.286,1.3,1.7,.750,2.8,3.6,6.4,0.5,0.5,0.5,0.8,3.0,7.5
539,Semi Ojeleye\ojelese01,PF,27,MIL,20,0,308,2.1,8.2,.257,1.3,4.8,.268,0.8,3.4,.241,1.2,1.5,.769,2.9,3.9,6.8,0.6,0.6,0.6,0.6,3.0,6.7
540,Semi Ojeleye\ojelese01,PF,27,LAC,5,0,31,5.8,11.6,.500,2.3,4.6,.500,3.5,7.0,.500,2.3,3.5,.667,1.2,1.2,2.3,0.0,0.0,0.0,3.5,2.3,16.3
541,Chuma Okeke\okekech01,PF,23,ORL,54,12,1309,4.6,12.0,.382,2.3,7.3,.311,2.3,4.7,.491,1.1,1.3,.848,1.1,6.1,7.2,2.6,2.3,0.9,1.2,2.0,12.5
542,Josh Okogie\okogijo01,SG,23,MIN,37,6,442,2.4,6.7,.366,0.9,3.2,.282,1.5,3.5,.442,2.2,3.3,.659,2.1,3.2,5.3,1.5,1.6,0.8,1.7,3.7,8.0
543,Onyeka Okongwu\okongon01,C,21,ATL,30,6,631,5.9,8.1,.732,0.0,0.0,,5.9,8.1,.732,2.8,3.8,.731,3.6,5.4,9.0,1.9,1.1,2.3,1.9,5.4,14.7
544,Isaac Okoro\okorois01,SF,21,CLE,49,43,1413,3.9,8.5,.464,1.0,3.2,.310,2.9,5.2,.558,2.3,2.9,.774,1.4,2.6,4.0,2.2,1.0,0.4,1.3,3.3,11.1
545,KZ Okpala\okpalkz01,PF,22,MIA,21,0,244,4.4,10.2,.435,1.3,3.8,.346,3.1,6.3,.488,1.2,1.6,.727,1.6,4.4,6.0,2.1,0.6,1.0,0.7,3.7,11.4
546,Victor Oladipo\oladivi01,SG,29,MIA,1,0,15,9.6,16.8,.571,4.8,7.2,.667,4.8,9.6,.500,2.4,4.8,.500,0.0,2.4,2.4,9.6,0.0,0.0,2.4,0.0,26.4
547,Cameron Oliver\oliveca01,SF,25,ATL,2,0,43,8.4,12.6,.667,0.8,2.5,.333,7.5,10.0,.750,1.7,2.5,.667,1.7,3.3,5.0,2.5,0.8,0.8,0.0,4.2,19.3
548,Kelly Olynyk\olynyke01,C,30,DET,28,1,552,6.0,14.3,.420,2.0,5.8,.337,4.0,8.5,.477,2.7,3.8,.707,2.7,6.0,8.7,5.0,1.4,0.8,2.7,4.7,16.6
549,Eugene Omoruyi\omorueu01,SF,24,DAL,4,0,18,4.0,10.0,.400,2.0,4.0,.500,2.0,6.0,.333,4.0,8.0,.500,4.0,10.0,14.0,4.0,0.0,0.0,0.0,4.0,14.0
550,Miye Oni\onimi01,SG,24,UTA,16,0,44,1.6,7.4,.222,0.8,6.5,.125,0.8,0.8,1.000,0.0,0.8,.000,0.8,4.9,5.7,4.1,0.0,0.0,0.8,5.7,4.1
551,Cedi Osman\osmande01,SF,26,CLE,52,3,1218,6.1,14.2,.428,3.3,8.9,.365,2.8,5.3,.533,2.1,3.2,.657,0.6,2.8,3.4,3.3,1.3,0.2,1.6,3.0,17.5
552,Daniel Oturu\oturuda01,C,22,TOR,3,0,27,4.0,8.0,.500,0.0,1.3,.000,4.0,6.7,.600,4.0,6.7,.600,1.3,5.3,6.7,0.0,0.0,2.7,0.0,1.3,12.0
553,Kelly Oubre Jr.\oubreke01,SF,26,CHO,59,13,1677,7.4,17.1,.435,3.5,10.2,.345,3.9,6.9,.569,2.3,3.4,.671,1.4,3.8,5.2,1.6,1.5,0.6,1.3,3.3,20.7
554,Jaysean Paige\paigeja01,PG,27,DET,1,0,7,0.0,15.4,.000,0.0,10.3,.000,0.0,5.1,.000,0.0,0.0,,0.0,5.1,5.1,5.1,0.0,0.0,5.1,10.3,0.0
555,Trayvon Palmer\palmetr01,SG,27,DET,1,0,17,0.0,2.1,.000,0.0,0.0,,0.0,2.1,.000,0.0,0.0,,0.0,4.2,4.2,0.0,0.0,0.0,2.1,4.2,0.0
556,Kevin Pangos\pangoke01,PG,29,CLE,24,3,166,3.3,10.0,.326,1.3,5.6,.231,2.0,4.3,.450,0.7,0.9,.750,0.4,2.0,2.4,6.5,0.7,0.0,1.5,2.4,8.5
557,Jabari Parker\parkeja01,PF,26,BOS,12,0,112,5.8,12.2,.474,2.6,5.1,.500,3.2,7.1,.455,2.9,2.9,1.000,1.6,7.4,9.0,1.9,1.3,0.3,2.6,4.2,17.0
558,Eric Paschall\pascher01,PF,25,UTA,46,1,598,5.3,10.8,.489,2.1,5.5,.385,3.2,5.4,.596,3.1,4.1,.765,1.5,4.0,5.5,1.7,0.4,0.2,1.6,2.6,15.8
559,Chris Paul\paulch01,PG,36,PHO,58,58,1916,6.1,12.5,.487,1.1,3.4,.330,5.0,9.1,.546,2.9,3.5,.843,0.3,4.6,4.9,11.6,2.0,0.3,2.6,2.2,16.3
560,Cameron Payne\payneca01,PG,27,PHO,43,3,903,7.0,17.3,.403,2.0,5.9,.333,5.0,11.4,.439,2.6,3.0,.853,0.7,4.0,4.7,7.0,1.0,0.6,3.2,3.3,18.5
561,Elfrid Payton\paytoel01,PG,27,PHO,40,0,463,4.5,11.4,.395,0.3,1.2,.250,4.2,10.2,.412,0.9,2.2,.393,1.6,4.4,6.0,6.6,1.5,0.3,3.0,2.7,10.2
562,Gary Payton II\paytoga02,PG,29,GSW,60,14,1023,6.2,10.2,.612,1.4,3.8,.364,4.9,6.4,.758,1.1,1.9,.574,2.0,5.2,7.2,1.8,2.9,0.6,1.1,3.7,14.9
563,Norvel Pelle\pelleno01,C,28,UTA,3,0,19,5.7,9.5,.600,0.0,0.0,,5.7,9.5,.600,0.0,0.0,,5.7,5.7,11.4,0.0,0.0,1.9,3.8,1.9,11.4
564,Reggie Perry\perryre01,PF,21,TOT,3,0,51,3.5,7.1,.500,0.7,1.4,.500,2.8,5.6,.500,1.4,1.4,1.000,1.4,4.2,5.6,1.4,0.7,0.0,0.7,6.4,9.2
565,Reggie Perry\perryre01,PF,21,POR,2,0,41,3.5,7.9,.444,0.9,1.8,.500,2.6,6.1,.429,1.8,1.8,1.000,1.8,4.4,6.1,1.8,0.9,0.0,0.9,5.3,9.7
566,Reggie Perry\perryre01,PF,21,IND,1,0,10,3.6,3.6,1.000,0.0,0.0,,3.6,3.6,1.000,0.0,0.0,,0.0,3.6,3.6,0.0,0.0,0.0,0.0,10.8,7.2
567,Jamorko Pickett\pickeja01,PF,24,DET,6,0,47,0.8,7.7,.100,0.8,5.4,.143,0.0,2.3,.000,0.0,0.0,,1.5,5.4,6.9,0.8,0.0,0.8,2.3,2.3,2.3
568,Theo Pinson\pinsoth01,SF,26,DAL,16,0,120,2.7,9.6,.281,1.8,7.5,.240,0.9,2.1,.429,1.2,1.2,1.000,0.3,5.4,5.7,3.9,1.2,0.6,0.6,2.7,8.4
569,Mason Plumlee\plumlma01,C,31,CHO,56,56,1416,4.1,6.5,.630,0.0,0.1,.000,4.1,6.4,.635,1.2,3.4,.363,3.6,7.9,11.5,4.3,1.3,0.9,1.8,4.4,9.4
570,Jakob Poeltl\poeltja01,C,26,SAS,54,53,1576,7.5,12.1,.619,0.0,0.0,1.000,7.5,12.1,.618,1.7,3.5,.481,4.8,6.4,11.2,3.7,0.9,2.1,2.0,3.8,16.7
571,Aleksej Pokusevski\pokusal01,PF,20,OKC,48,5,850,5.3,13.2,.399,1.5,5.6,.273,3.7,7.6,.492,0.6,0.9,.619,2.2,7.4,9.5,2.8,1.2,1.3,2.4,2.5,12.6
572,Yves Pons\ponsyv01,SF,22,MEM,7,0,22,1.6,4.9,.333,1.6,1.6,1.000,0.0,3.3,.000,0.0,3.3,.000,3.3,4.9,8.2,0.0,0.0,0.0,0.0,3.3,4.9
573,Jordan Poole\poolejo01,SG,22,GSW,59,36,1692,7.1,15.9,.445,3.0,8.7,.347,4.1,7.2,.563,3.6,3.9,.928,0.6,3.3,3.9,4.4,1.0,0.4,2.9,3.2,20.8
574,Kevin Porter Jr.\porteke02,PG,21,HOU,44,44,1332,5.8,14.4,.400,2.8,7.4,.375,3.0,7.0,.426,2.4,3.9,.596,0.8,3.9,4.7,7.1,1.4,0.3,4.0,3.1,16.6
575,Michael Porter Jr.\portemi01,SF,23,DEN,9,9,265,5.0,14.0,.359,1.4,6.5,.208,3.7,7.5,.491,0.7,1.2,.556,1.2,6.8,8.0,2.3,1.4,0.3,1.6,2.2,12.1
576,Otto Porter Jr.\porteot01,PF,28,GSW,53,14,1134,5.1,11.0,.470,2.3,5.9,.380,2.9,5.0,.576,1.2,1.5,.787,1.9,7.1,9.0,2.6,1.9,0.8,0.9,2.3,13.7
577,Bobby Portis\portibo01,C,26,MIL,56,51,1622,7.5,15.5,.484,2.6,6.1,.415,4.9,9.3,.530,1.7,2.3,.740,3.2,8.1,11.3,1.5,0.9,1.0,1.8,3.2,19.3
578,Kristaps Porziņģis\porzikr01,PF,26,TOT,35,35,1023,8.3,18.3,.454,1.8,6.2,.294,6.5,12.1,.536,5.5,6.3,.861,2.3,7.1,9.4,2.4,0.9,2.1,1.9,3.2,23.9
579,Kristaps Porziņģis\porzikr01,PF,26,DAL,34,34,1002,8.2,18.3,.451,1.8,6.2,.283,6.5,12.0,.537,5.3,6.1,.865,2.3,7.1,9.4,2.5,0.9,2.1,1.9,3.2,23.5
580,Kristaps Porziņģis\porzikr01,PF,26,WAS,1,1,21,12.0,20.6,.583,5.1,6.9,.750,6.9,13.7,.500,13.7,17.1,.800,1.7,6.9,8.6,0.0,0.0,3.4,0.0,5.1,42.9
581,Micah Potter\pottemi01,C,23,DET,3,0,31,5.8,12.8,.455,0.0,2.3,.000,5.8,10.5,.556,2.3,2.3,1.000,4.6,5.8,10.5,0.0,1.2,1.2,1.2,4.6,13.9
582,Dwight Powell\poweldw01,C,30,DAL,65,54,1361,5.0,7.7,.647,0.3,0.9,.382,4.7,6.8,.682,2.9,3.9,.748,3.5,4.3,7.9,1.9,0.8,0.7,1.3,4.5,13.3
583,Myles Powell\powelmy01,PG,24,PHI,11,0,52,3.5,11.8,.294,0.7,4.2,.167,2.8,7.6,.364,1.4,1.4,1.000,0.7,3.5,4.2,2.1,0.7,0.0,2.1,5.5,9.0
584,Norman Powell\powelno01,SF-SG,28,TOT,43,41,1413,6.8,14.9,.457,2.5,6.2,.407,4.3,8.7,.493,4.5,5.6,.807,0.5,3.1,3.6,2.4,1.1,0.5,1.7,2.5,20.6
585,Norman Powell\powelno01,SF,28,POR,40,39,1333,6.7,14.6,.456,2.5,6.2,.406,4.2,8.5,.492,4.3,5.3,.803,0.5,3.1,3.5,2.2,1.1,0.5,1.7,2.5,20.1
586,Norman Powell\powelno01,SG,28,LAC,3,2,80,9.0,18.9,.476,2.7,6.3,.429,6.3,12.6,.500,7.7,9.0,.850,1.4,2.7,4.1,5.4,0.9,0.9,2.3,3.6,28.4
587,Joshua Primo\primojo01,SG,19,SAS,35,4,570,3.9,10.2,.377,1.8,5.5,.333,2.0,4.7,.427,1.6,2.1,.735,1.5,3.0,4.5,3.2,0.8,1.1,2.0,3.1,11.1
588,Taurean Prince\princta02,PF,27,MIN,54,8,855,5.1,11.2,.457,2.6,6.7,.381,2.6,4.5,.570,1.5,1.9,.783,0.8,4.5,5.3,2.1,1.5,0.8,1.9,3.3,14.4
589,Payton Pritchard\pritcpa01,SG,24,BOS,55,2,706,5.3,13.3,.396,3.1,8.2,.375,2.2,5.1,.430,0.7,0.7,1.000,1.1,3.6,4.6,5.2,0.7,0.2,1.7,2.3,14.3
590,Trevelin Queen\queentr01,SG,24,HOU,10,0,74,7.3,16.1,.455,4.4,11.7,.375,2.9,4.4,.667,1.9,1.9,1.000,3.4,4.4,7.8,1.9,2.4,0.5,3.4,2.9,20.9
591,Neemias Queta\quetane01,C,22,SAC,10,0,56,5.8,14.8,.391,0.0,0.0,,5.8,14.8,.391,1.9,3.2,.600,7.1,5.1,12.2,2.6,0.6,2.6,2.6,7.1,13.5
592,Immanuel Quickley\quickim01,PG,22,NYK,61,2,1320,5.5,14.3,.385,2.8,8.1,.342,2.7,6.2,.441,3.0,3.2,.924,0.6,3.7,4.3,4.9,1.0,0.1,2.1,3.7,16.8
593,Jahmi'us Ramsey\ramseja01,SG,20,SAC,19,0,134,6.4,15.6,.414,1.3,4.8,.278,5.1,10.7,.475,1.9,3.8,.500,1.1,2.4,3.5,1.9,0.3,0.3,1.3,2.7,16.1
594,Julius Randle\randlju01,PF,27,NYK,63,63,2231,7.3,17.4,.419,1.7,5.4,.309,5.6,12.0,.468,4.1,5.4,.766,1.8,8.4,10.2,5.2,0.8,0.6,3.5,2.9,20.4
595,Austin Reaves\reaveau01,SG,23,LAL,45,6,989,3.6,7.5,.478,1.3,4.1,.327,2.2,3.3,.663,1.8,2.2,.833,0.9,3.4,4.3,2.2,0.6,0.6,0.9,2.5,10.3
596,Cam Reddish\reddica01,SF,22,TOT,49,7,1012,5.9,14.5,.404,2.3,6.5,.359,3.5,8.0,.442,3.6,4.0,.902,0.9,2.8,3.7,1.7,1.7,0.5,2.0,2.1,17.7
597,Cam Reddish\reddica01,SF,22,ATL,34,7,797,6.2,15.5,.402,2.6,6.9,.379,3.6,8.6,.421,3.3,3.6,.900,0.9,2.9,3.8,1.7,1.6,0.5,2.0,2.0,18.3
598,Cam Reddish\reddica01,SF,22,NYK,15,0,215,4.5,10.9,.415,1.3,5.2,.258,3.2,5.7,.559,4.9,5.4,.906,0.8,2.7,3.5,1.7,2.0,0.7,2.2,2.5,15.2
599,Davon Reed\reedda01,SG,26,DEN,34,3,447,4.4,9.0,.491,2.4,5.2,.469,2.0,3.9,.521,0.5,0.6,.857,0.9,5.6,6.5,2.6,1.4,0.3,0.6,3.5,11.8
600,Paul Reed\reedpa01,C,22,PHI,28,2,235,4.3,9.3,.459,0.2,0.8,.200,4.1,8.6,.482,0.6,1.5,.400,4.7,5.2,10.0,1.7,2.9,1.8,1.2,5.7,9.3
601,Naz Reid\reidna01,C,22,MIN,63,5,1006,6.9,14.1,.491,1.6,4.7,.348,5.3,9.3,.563,3.4,4.5,.752,3.0,5.7,8.7,2.1,1.0,2.2,2.4,4.8,18.8
602,Nick Richards\richani01,C,24,CHO,42,5,346,5.8,8.5,.683,0.0,0.0,,5.8,8.5,.683,3.1,4.5,.698,3.1,5.2,8.3,1.4,0.9,2.0,2.2,5.1,14.8
603,Josh Richardson\richajo01,SG,28,TOT,49,1,1171,5.0,11.4,.438,2.1,5.2,.411,2.9,6.3,.461,1.9,2.2,.863,0.9,3.2,4.1,2.3,1.1,0.7,1.3,2.7,14.1
604,Josh Richardson\richajo01,SG,28,BOS,44,0,1087,5.0,11.4,.443,2.1,5.2,.397,3.0,6.2,.481,2.0,2.4,.859,0.9,3.3,4.1,2.2,1.1,0.8,1.3,2.7,14.1
605,Josh Richardson\richajo01,SG,28,SAS,5,1,84,4.7,12.4,.379,3.0,5.1,.583,1.7,7.3,.235,0.9,0.9,1.000,1.7,2.1,3.9,4.3,0.4,0.4,0.9,2.6,13.3
606,Austin Rivers\riverau01,SG,29,DEN,50,14,1076,3.9,9.2,.423,2.0,6.0,.343,1.8,3.2,.573,0.7,1.0,.677,0.5,2.3,2.8,2.1,1.3,0.2,1.3,2.8,10.5
607,Duncan Robinson\robindu01,SG,27,MIA,63,58,1690,5.1,12.8,.399,4.0,10.9,.366,1.1,1.9,.582,0.9,1.0,.833,0.5,3.3,3.8,2.2,0.7,0.3,1.2,3.5,15.1
608,Justin Robinson\robinju01,PG,24,TOT,25,0,304,3.3,11.0,.301,2.1,7.2,.295,1.2,3.8,.313,0.5,0.9,.500,0.5,2.0,2.5,3.8,1.1,0.1,2.0,3.2,9.2
609,Justin Robinson\robinju01,PG,24,MIL,17,0,198,3.3,10.4,.316,1.8,6.7,.270,1.5,3.6,.400,0.4,0.4,1.000,0.4,2.0,2.4,3.8,1.5,0.0,2.0,3.1,8.7
610,Justin Robinson\robinju01,PG,24,SAC,3,0,15,2.4,19.2,.125,0.0,7.2,.000,2.4,12.0,.200,0.0,0.0,,0.0,2.4,2.4,4.8,0.0,0.0,2.4,4.8,4.8
611,Justin Robinson\robinju01,PG,24,DET,5,0,91,3.6,11.1,.321,3.2,8.3,.381,0.4,2.8,.143,0.8,2.4,.333,0.8,2.0,2.8,3.6,0.4,0.4,2.0,3.2,11.1
612,Mitchell Robinson\robinmi01,C,23,NYK,59,50,1479,5.1,6.7,.770,0.0,0.0,,5.1,6.7,.770,1.7,3.5,.486,5.5,6.9,12.4,0.6,1.0,2.3,1.1,3.9,12.0
613,Jeremiah Robinson-Earl\robinje02,C,21,OKC,44,36,1014,4.2,10.4,.401,1.8,5.3,.333,2.4,5.0,.472,1.1,1.5,.714,2.5,6.5,9.0,1.6,1.0,0.5,1.2,2.6,11.1
614,Isaiah Roby\robyis01,PF,23,OKC,27,12,477,6.5,12.6,.515,1.4,3.4,.422,5.1,9.2,.549,2.7,3.7,.735,3.2,5.4,8.6,2.1,1.5,1.1,1.9,4.5,17.1
615,Rajon Rondo\rondora01,PG,35,TOT,32,1,593,3.6,9.5,.378,1.5,4.6,.329,2.1,4.9,.425,1.0,1.4,.739,0.8,5.0,5.8,8.3,1.6,0.3,3.8,2.9,9.7
616,Rajon Rondo\rondora01,PG,35,LAL,18,0,289,2.9,8.8,.324,1.0,3.7,.267,1.9,5.1,.366,0.1,0.2,.500,1.2,4.9,6.1,8.3,1.5,0.6,4.2,3.1,6.9
617,Rajon Rondo\rondora01,PG,35,CLE,14,1,304,4.3,10.1,.424,2.0,5.4,.370,2.3,4.6,.487,1.9,2.5,.762,0.4,5.2,5.6,8.3,1.7,0.0,3.3,2.7,12.4
618,Derrick Rose\rosede01,PG,33,NYK,26,4,636,6.9,15.5,.445,2.1,5.2,.402,4.8,10.3,.467,1.7,1.8,.968,1.2,3.2,4.4,5.8,1.2,0.7,2.2,0.8,17.6
619,Terrence Ross\rosste01,SG,30,ORL,55,0,1304,5.4,13.5,.403,1.9,6.3,.308,3.5,7.2,.485,2.7,3.1,.868,0.5,3.4,3.9,2.9,0.7,0.3,1.9,1.7,15.5
620,Terry Rozier\roziete01,SG,27,CHO,56,56,1899,7.5,17.2,.438,3.3,8.7,.375,4.2,8.5,.502,2.3,2.7,.833,0.8,3.8,4.6,4.7,1.3,0.4,1.3,1.7,20.5
621,Ricky Rubio\rubiori01,PG,31,CLE,34,8,970,5.5,15.3,.363,2.2,6.5,.339,3.3,8.8,.380,3.3,3.8,.854,0.6,4.7,5.2,8.4,1.8,0.3,3.3,2.8,16.5
622,D'Angelo Russell\russeda01,PG,25,MIN,51,51,1640,7.4,17.6,.419,3.3,9.4,.350,4.1,8.3,.497,3.5,4.2,.824,0.5,3.4,3.8,7.9,1.1,0.5,2.9,2.4,21.6
623,Domantas Sabonis\sabondo01,C-PF,25,TOT,58,57,1992,7.5,13.0,.577,0.7,2.2,.308,6.8,10.8,.631,3.9,5.3,.730,3.5,9.3,12.8,5.4,1.0,0.5,3.3,3.5,19.5
624,Domantas Sabonis\sabondo01,C,25,IND,47,46,1632,7.3,12.6,.580,0.8,2.4,.324,6.5,10.2,.639,4.2,5.7,.740,3.4,9.1,12.5,5.2,1.0,0.5,3.2,3.2,19.6
625,Domantas Sabonis\sabondo01,PF,25,SAC,11,11,360,8.3,14.6,.568,0.2,1.2,.167,8.1,13.4,.604,2.3,3.5,.657,3.7,10.4,14.1,6.5,0.8,0.3,3.9,4.5,19.1
626,Olivier Sarr\sarrol01,C,22,OKC,8,0,112,5.5,10.3,.531,0.6,2.6,.250,4.8,7.7,.625,1.9,2.6,.750,3.2,6.1,9.3,1.3,0.6,1.3,1.9,4.5,13.5
627,Tomáš Satoranský\satorto01,SG,30,TOT,36,3,534,2.4,7.6,.319,0.4,2.2,.182,2.0,5.4,.375,1.8,2.3,.794,1.3,3.5,4.8,5.7,1.1,0.1,1.7,2.5,7.1
628,Tomáš Satoranský\satorto01,SG,30,NOP,32,3,481,2.4,8.0,.299,0.4,2.3,.161,2.0,5.7,.355,1.4,1.9,.760,1.3,3.4,4.8,5.7,1.0,0.1,1.7,2.5,6.6
629,Tomáš Satoranský\satorto01,SG,30,SAS,1,0,9,0.0,0.0,,0.0,0.0,,0.0,0.0,,12.0,16.0,.750,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0
630,Tomáš Satoranský\satorto01,SG,30,WAS,3,0,44,3.3,4.9,.667,0.8,1.6,.500,2.5,3.3,.750,4.1,4.1,1.000,0.8,4.1,4.9,6.5,1.6,0.8,1.6,3.3,11.5
631,Jordan Schakel\schakjo01,SG,23,WAS,2,0,14,0.0,15.4,.000,0.0,7.7,.000,0.0,7.7,.000,0.0,0.0,,5.1,2.6,7.7,0.0,0.0,0.0,0.0,0.0,0.0
632,Admiral Schofield\schofad01,SF,24,ORL,29,1,298,4.3,9.5,.456,1.7,5.4,.311,2.7,4.1,.647,0.8,1.2,.700,1.3,5.2,6.5,1.9,0.5,0.5,1.7,4.3,11.2
633,Dennis Schröder\schrode01,SG-PG,28,TOT,55,29,1616,6.2,14.5,.429,1.6,4.9,.336,4.6,9.6,.477,3.1,3.6,.851,0.8,3.5,4.3,5.6,1.0,0.1,2.8,3.0,17.1
634,Dennis Schröder\schrode01,SG,28,BOS,49,25,1433,6.5,14.7,.440,1.7,4.8,.349,4.8,9.8,.485,3.1,3.6,.848,0.7,3.4,4.1,5.2,1.0,0.1,2.6,2.9,17.7
635,Dennis Schröder\schrode01,PG,28,HOU,6,4,183,4.3,13.0,.333,1.4,5.5,.250,3.0,7.5,.395,2.8,3.1,.875,1.2,4.1,5.3,8.9,0.6,0.2,4.1,3.9,12.8
636,Tre Scott\scotttr01,SF,25,CLE,2,0,11,9.8,19.6,.500,0.0,3.3,.000,9.8,16.4,.600,0.0,0.0,,3.3,3.3,6.5,0.0,3.3,3.3,0.0,6.5,19.6
637,Jay Scrubb\scrubja01,SG,21,LAC,18,0,121,5.4,13.7,.391,1.8,6.2,.286,3.6,7.4,.480,2.1,3.0,.700,0.6,4.2,4.8,2.4,1.2,0.9,2.1,2.7,14.6
638,Wayne Selden\seldewa01,SG,27,NYK,3,0,19,1.9,7.6,.250,1.9,3.8,.500,0.0,3.8,.000,3.8,7.6,.500,0.0,1.9,1.9,1.9,0.0,0.0,0.0,1.9,9.5
639,Alperen Şengün\sengual01,C,19,HOU,57,6,1086,5.9,12.6,.472,0.7,2.7,.247,5.3,9.9,.534,4.2,6.2,.684,3.2,6.1,9.3,4.6,1.5,1.8,3.7,5.4,16.8
640,Collin Sexton\sextoco01,SG,23,CLE,11,11,316,7.7,17.2,.450,1.3,5.1,.244,6.5,12.1,.538,3.3,4.4,.744,1.5,2.6,4.1,2.6,1.1,0.0,3.5,2.8,20.1
641,Landry Shamet\shamela01,SG,24,PHO,51,10,1024,4.4,11.8,.369,2.9,8.1,.355,1.5,3.7,.400,2.0,2.3,.848,0.4,3.0,3.4,2.9,0.8,0.2,0.9,2.3,13.6
642,Day'Ron Sharpe\sharpda01,PF,20,BRK,32,8,391,7.9,13.7,.577,0.2,0.6,.286,7.7,13.1,.592,2.2,3.8,.585,7.5,7.3,14.7,1.6,0.9,1.4,2.8,5.5,18.2
643,Pascal Siakam\siakapa01,PF,27,TOR,51,51,1917,7.9,16.4,.483,1.0,2.9,.338,6.9,13.5,.515,3.8,5.2,.736,1.9,6.1,8.0,4.8,1.2,0.7,2.6,3.3,20.6
644,Chris Silva\silvach01,PF,25,TOT,10,0,91,3.2,5.9,.533,0.0,0.0,,3.2,5.9,.533,4.0,4.7,.833,5.1,9.1,14.2,2.8,0.0,0.4,3.2,7.9,10.3
645,Chris Silva\silvach01,PF,25,MIN,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
646,Chris Silva\silvach01,PF,25,MIA,9,0,88,3.3,6.1,.533,0.0,0.0,,3.3,6.1,.533,4.1,4.9,.833,5.3,9.0,14.3,2.9,0.0,0.4,3.3,8.2,10.6
