Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
450,Timothé Luwawu-Cabarrot\luwawti01,SF,26,ATL,38,12,455,4.0,10.3,.385,2.5,6.9,.368,1.4,3.4,.419,1.3,1.6,.850,0.7,3.2,3.9,2.1,1.0,0.3,1.0,3.6,11.8
451,Trey Lyles\lylestr01,PF,26,TOT,60,8,1126,6.4,13.6,.467,1.6,5.1,.313,4.8,8.5,.560,4.8,6.1,.785,2.1,6.7,8.8,2.0,0.7,0.9,1.9,3.3,19.1
452,Trey Lyles\lylestr01,PF,26,DET,51,3,990,6.4,14.0,.456,1.6,5.3,.301,4.8,8.7,.550,5.0,6.4,.784,2.2,6.7,8.9,2.1,0.8,0.9,2.0,3.3,19.3
453,Trey Lyles\lylestr01,PF,26,SAC,9,5,136,6.4,11.1,.571,1.6,3.7,.429,4.8,7.4,.643,3.2,4.0,.800,1.9,6.6,8.5,1.3,0.0,0.3,1.6,3.2,17.5
454,Théo Maledon\maledth01,PG,20,OKC,37,0,546,3.8,11.6,.324,1.6,6.0,.264,2.2,5.6,.388,2.9,3.5,.830,0.7,3.6,4.2,3.4,1.3,0.3,2.0,2.6,12.0
455,Sandro Mamukelashvili\mamuksa01,PF,22,MIL,34,2,315,4.5,9.7,.459,1.7,4.5,.385,2.7,5.3,.522,1.0,1.4,.750,3.2,3.7,6.9,1.8,0.8,0.8,1.1,2.3,11.7
456,Terance Mann\mannte01,SF,25,LAC,65,29,1886,5.1,10.6,.486,1.2,3.2,.371,3.9,7.3,.536,1.7,2.2,.761,1.6,5.0,6.7,3.1,0.9,0.2,1.2,2.8,13.2
457,Tre Mann\manntr01,PG,20,OKC,51,18,1086,5.8,15.0,.383,2.3,6.7,.345,3.4,8.3,.414,1.7,2.2,.758,0.5,3.7,4.2,2.2,1.4,0.3,1.7,2.9,15.5
458,Boban Marjanović\marjabo01,C,33,DAL,18,0,98,13.2,20.9,.632,0.4,1.1,.333,12.9,19.8,.648,2.9,5.9,.500,2.6,8.4,11.0,0.7,0.0,0.7,4.0,7.3,29.8
459,Lauri Markkanen\markkla01,PF,24,CLE,44,44,1331,5.8,13.7,.426,2.5,7.2,.342,3.4,6.5,.519,2.4,2.8,.854,1.2,5.3,6.5,1.7,0.9,0.6,1.1,2.1,16.5
460,Naji Marshall\marshna01,SF,24,NOP,37,0,379,5.4,13.5,.401,1.1,5.7,.200,4.3,7.8,.549,3.3,4.3,.778,2.2,5.7,7.9,2.8,1.7,0.5,2.5,3.5,15.3
461,Caleb Martin\martica02,SF,26,MIA,51,10,1178,5.7,10.9,.520,1.6,4.1,.396,4.1,6.8,.594,1.9,2.5,.756,2.0,4.2,6.2,1.8,1.6,0.7,1.3,2.6,14.9
462,Cody Martin\martico01,SF,26,CHO,54,11,1461,3.9,8.5,.465,1.3,3.2,.406,2.7,5.3,.500,1.6,2.2,.692,1.6,3.9,5.4,3.4,1.7,0.6,1.2,2.3,10.7
463,Kelan Martin\martike03,SF,26,TOT,28,1,447,5.6,13.7,.412,1.8,6.0,.297,3.9,7.7,.500,0.7,1.0,.692,1.3,3.1,4.3,1.7,1.0,0.7,1.1,2.9,13.8
464,Kelan Martin\martike03,SF,26,IND,27,1,444,5.7,13.6,.417,1.8,6.0,.297,3.9,7.6,.511,0.7,1.1,.692,1.3,3.0,4.3,1.7,1.1,0.7,1.1,2.9,13.9
465,Kelan Martin\martike03,SF,26,BOS,1,0,3,0.0,24.0,.000,0.0,0.0,,0.0,24.0,.000,0.0,0.0,,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
466,Kenyon Martin Jr.\martike04,SF,21,HOU,62,0,1255,6.2,11.7,.532,1.2,3.5,.352,5.0,8.2,.608,1.8,2.9,.640,1.9,4.9,6.8,2.4,0.8,0.8,1.3,2.2,15.5
467,Garrison Mathews\mathega01,SG,25,HOU,48,21,1314,4.2,10.2,.409,3.1,8.4,.365,1.1,1.8,.615,3.2,4.0,.808,0.7,3.5,4.2,1.3,1.0,0.4,0.9,3.7,14.6
468,Dakota Mathias\mathida01,SG,26,MEM,6,0,16,4.5,13.5,.333,4.5,13.5,.333,0.0,0.0,,0.0,0.0,,0.0,4.5,4.5,2.3,2.3,0.0,0.0,2.3,13.5
469,Wesley Matthews\matthwe02,SG,35,MIL,34,6,671,3.2,8.3,.383,1.9,6.0,.324,1.2,2.3,.535,0.6,0.9,.750,0.9,2.5,3.4,1.3,0.8,0.3,0.7,3.5,8.9
470,Tyrese Maxey\maxeyty01,PG,21,PHI,57,56,2030,6.6,13.6,.482,1.6,3.8,.423,5.0,9.9,.505,3.0,3.5,.864,0.4,3.2,3.5,4.5,0.8,0.5,1.2,2.1,17.8
471,Skylar Mays\mayssk01,SG,24,ATL,24,5,210,5.5,10.6,.516,1.4,4.3,.320,4.1,6.3,.649,1.4,1.5,.889,0.9,3.4,4.3,2.7,1.2,0.0,1.7,1.4,13.7
